iter	Passed	Remaining
413	2701	3823
414	2706	3815
415	2709	3803
416	2711	3791
417	2714	3779
418	2716	3767
419	2722	3759
420	2724	3747
421	2727	3736
422	2731	3725
423	2734	3714
424	2739	3706
425	2742	3695
426	2744	3682
427	2748	3673
428	2751	3662
429	2754	3651
430	2757	3640
431	2760	3629
432	2764	3619
433	2766	3608
434	2769	3596
435	2771	3585
436	2773	3573
437	2778	3564
438	2780	3553
439	2783	3542
440	2785	3530
441	2788	3519
442	2793	3512
443	2800	3507
444	2803	3496
445	2809	3489
446	2811	3478
447	2813	3467
448	2816	3455
449	2818	3444
450	2820	3433
451	2823	3423
452	2826	3413
453	2829	3402
454	2832	3392
455	2834	3381
456	2839	3373
457	2842	3363
458	2844	3353
459	2847	3342
460	2849	3331
461	2853	3322
462	2855	3312
463	2858	3302
464	2861	3291
465	2864	3282
466	2869	3274
467	2872	3265
468	2875	3256
469	2878	3246
470	2882	3237
471	2888	3231
472	2892	3222
473	2895	3212
474	2899	3204
475	2904	3197
476	2907	3187
477	2909	3177
478	2921	3177
479	2924	3167
480	2938	3170
481	2941	3160
482	2948	3156
483	2951	3146
484	2954	3137
485	2957	3127
486	2960	3118
487	2964	3110
488	2967	3100
489	2977	3099
490	2981	3090
491	2983	3080
492	2986	3071
493	2988	3061
494	2992	3052
495	2996	3044
496	3006	3042
497	3009	3033
498	3011	3023
499	3013	3013
500	3016	3004
501	3028	3004
502	3031	2995
503	3041	2993
504	3047	2986
505	3051	2978
506	3053	2969
507	3056	2960
508	3058	2950
509	3071	2950
510	3074	2942
511	3077	2933
512	3081	2924
513	3084	2916
514	3094	2913
515	3101	2908
516	3104	2899
517	3107	2891
518	3118	2890
519	3121	2881
520	3138	2885
521	3149	2884
522	3153	2876
523	3156	2867
524	3174	2872
525	3179	2864
526	3181	2855
527	3184	2846
528	3194	2843
529	3200	2837
530	3207	2832
531	3210	2823
532	3215	2817
533	3218	2808
534	3220	2799
535	3223	2790
536	3227	2782
537	3238	2781
538	3245	2775
539	3248	2767
540	3251	2758
541	3254	2749
542	3297	2775
543	3303	2768
544	3314	2767
545	3318	2759
546	3330	2757
547	3335	2751
548	3342	2746
549	3346	2737
550	3363	2740
551	3394	2755
552	3430	2773
553	3435	2765
554	3444	2762
555	3448	2754
556	3452	2745
557	3462	2742
558	3467	2735
559	3471	2727
560	3478	2721
561	3481	2713
562	3485	2705
563	3491	2699
564	3496	2691
565	3499	2683
566	3514	2683
567	3529	2684
568	3534	2677
569	3543	2673
570	3547	2665
571	3551	2657
572	3559	2652
573	3566	2647
574	3575	2642
575	3579	2635
576	3584	2627
577	3598	2627
578	3609	2624
579	3627	2626
580	3632	2619
581	3650	2622
582	3661	2619
583	3686	2626
584	3695	2621
585	3710	2621
586	3721	2618
587	3738	2619
588	3742	2611
589	3745	2602
590	3755	2598
591	3758	2590
592	3762	2582
593	3779	2583
594	3789	2579
595	3792	2570
596	3803	2567
597	3815	2564
598	3819	2557
599	3823	2549
600	3831	2543
601	3841	2539
602	3846	2532
603	3850	2524
604	3867	2525
605	3876	2520
606	3887	2516
607	3896	2512
608	3912	2512
609	3922	2508
610	3939	2507
611	3942	2499
612	3960	2500
613	3969	2495
614	3984	2494
615	3988	2486
616	3993	2479
617	3997	2471
618	4000	2462
619	4004	2454
620	4015	2450
621	4023	2445
622	4026	2436
623	4029	2428
624	4055	2433
